 22,ARR,AAR115,A321,HL8279,RJBB,0920,,RKSI,1110,1110,ARR,Y,32,1114,"DGA0149 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 172221 RJTTANAX  (FPL-AAR115-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJBB0020 -N0460F260 MAIKO DCT WENDY DCT SHION DCT SOUJA Y324 STAGE Y38 SAPRA  G585 GUKDO GUKDO1P -RKSI0133 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8279 EET/RKRR0047 SEL/CJAG  CODE/71C279 OPR/AAR RMK/TCAS II EQUIPPED)"
 23,ARR,AAR1155,A321,HL7789,RJBB,2025,,RKSS,2213,2225,ARR,Y,036,,"DGA4959 FF RKSSZTZX RKSSZPZX RKRRZQZX 180759 RJTTANAX  (FPL-AAR1155-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJBB1125 -N0467F300 MAIKO DCT WENDY DCT SHION DCT SOUJA Y324 STAGE/N0472F300  Y38 SAPRA G585 GUKDO GUKDO1H -RKSS0134 RKSI -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7789 EET/RKRR0050 SEL/BFJK  CODE/71BF89 OPR/AAR RMK/TCAS II EQUIPPED)"
 24,DEP,AAR116,A321,HL8257,RKSI,1950,2014,RJBB,2103,,DLA,Y,37,1950,"DGA5386 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180847 RKSSAARO  (FPL-AAR116-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI1050 -N0460F350 EGOBA G597 LANAT/N0459F350 G597 JEC Y361 SAEKI Y36 ALISA  ALISAC -RJBB0113 RJGG -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8257 EET/RJJJ0036 SEL/QSHL  CODE/71C257 OPR/AAR RMK/TCAS II EQUIPPED)"
 25,DEP,AAR1165,A321,HL7789,RKSS,1822,1822,RJBB,1855,,DEP,Y,037,,"DGA1496 FF RKSSZPZX RKSSZTZX RKRRZQZX 180228 RKSSAARO  (FPL-AAR1165-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSS0845 -N0459F350 EGOBA G597 LANAT/N0459F350 G597 JEC Y361 SAEKI Y36 ALISA  ALISAC -RJBB0110 RJGG -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7789 EET/RJJJ0033 SEL/BFJK  CODE/71BF89 OPR/AAR RMK/TCAS II EQUIPPED)"
 26,ARR,AAR1173,A321,HL8257,RJBB,2215,,RKSI,0002,0001,ARR,Y,24,0012,"DGA5740 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 180934 RJTTANAX  (FPL-AAR1173-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJBB1315 -N0463F220 MAIKO DCT WENDY DCT SHION/N0465F260 DCT SOUJA Y324 STAGE  Y38 SAPRA G585 KPO/N0464F280 G585 GUKDO GUKDO1P -RKSI0139 RKPC -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8257 EET/RKRR0049 SEL/QSHL  CODE/71C257 OPR/AAR RMK/TCAS II EQUIPPED MSN=XI)"
 27,ARR,AAR121,A321,HL7735,RJGG,1140,,RKSI,1347,1347,ARR,Y,37,1355,"DGA0507 FF RKRRZQZX RKSIZPZX RKPKZPZX RKSIZTZX RKSSZTZX 180047 RJTTANAX  (FPL-AAR121-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJGG0240 -N0462F280 HIKNE DCT YME Y18 JEC Y38 SAPRA G585 GUKDO GUKDO1P -RKSI0147 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7735 EET/RKRR0058 SEL/JMAP  OPR/AAR RMK/TCAS II EQUIPPED CODE/71BF35)"
 28,DEP,AAR122,A321,HL7735,RKSI,0908,0908,RJGG,1008,,DEP,Y,32,0850,"DGA7295 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 171307 RKSSAARO  (FPL-AAR122-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI2350 -N0457F350 EGOBA G597 LANAT/N0455F350 Y51 CHILY Y511 CHESS CHESSS -RJGG0118 RJBB -PBN/A1B1C1D1O1S1S2 DOF/150117 REG/HL7735 EET/RJJJ0037 SEL/JMAP  CODE/71BF35 OPR/AAR RMK/TCAS II EQUIPPED)"
 29,ARR,AAR123,A321,HL7735,RJGG,1745,,RKSI,2007,2007,ARR,Y,36,2015,"DGA4138 FF RKRRZQZX RKSIZPZX RKPKZPZX RKSIZTZX RKSSZTZX 180641 RJTTANAX  (FPL-AAR123-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJGG0845 -N0472F300 HIKNE DCT YME Y18 JEC Y38 SAPRA G585 GUKDO GUKDO1P -RKSI0152 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7735 EET/RKRR0101 SEL/JMAP  OPR/AAR RMK/TCAS II EQUIPPED CODE/71BF35)"
 30,DEP,AAR124,A321,HL7735,RKSI,1500,1526,RJGG,1618,,DEP,Y,37,1503,"DGA0473 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180044 RKSSAARO  (FPL-AAR124-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI0600 -N0459F350 EGOBA G597 LANAT/N0458F350 Y51 SAMON/N0438F290 Y51 CHILY  Y511 CHESS CHESSS -RJGG0118 RJOT -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL7735 EET/RJJJ0036 SEL/JMAP  CODE/71BF35 OPR/AAR RMK/TCAS II EQUIPPED)"
 31,ARR,AAR127,A321,HL8018,RJNT,1200,,RKSI,1442,1442,ARR,Y,32,1450,"DGA0603 FF RKSIZPZX RKSIZTZX RKPKZPZX RKSSZTZX RKRRZQZX 180057 RJTTANAX  (FPL-AAR127-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJNT0300 -N0456F280 RVSL4 URUSI V30 SAKYU Y16 SAPRA G585 GUKDO GUKDO1P -RKSI0156 RKSS -PBN/A1B1C1D1S1S2 DOF/150118 REG/HL8018 EET/RKRR0107 SEL/LMFS  CODE/71C018 OPR/AAR RMK/TCAS II EQUIPPED)"
 32,DEP,AAR128,A321,HL8018,RKSI,0920,0944,RJNT,1038,,DEP,Y,38,0925,"DGA8491 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 171659 RKSSAARO  (FPL-AAR128-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI0020 -N0450F350 EGOBA G597 LANAT/N0449F350 Y51 SAMON Y513 KMC V30 URUSI  NANAO -RJNT0118 RJGG -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8018 EET/RJJJ0036 SEL/LMFS  CODE/71C018 OPR/AAR RMK/TCAS II EQUIPPED)"
 33,ARR,AAR1295,A321,HL8279,RJDC,2000,,RKSI,2134,2134,ARR,Y,33,2151,"DGA2850 FF RKSSZTZX RKSIZPZX RKSIZTZX RKRRZQZX 180451 RKSSAARO  (FPL-AAR1295-IN -A321/M-SDE2E3FGHIRWXY/LB1 -RJDC1100 -N0465F260 DCT UBE DCT SWE DCT ONGHA DCT DGC A595 IKE/N0456F260  A582 ZAKRO/N0462F300 A582 PSN/N0463F320 A582 BITUX/N0458F320 Z53  GOTLO G585 GUKDO GUKDO1P -RKSI0112 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8279 EET/RKRR0027 SEL/CJAG  CODE/71C279 OPR/AAR RMK/TCAS II EQUIPPED MSN=NI)"
 34,DEP,AAR1305,A321,HL8279,RKSI,1740,1756,RJDC,1837,,DEP,Y,45,1735,"DGA2878 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180454 RKSSAARO  (FPL-AAR1305-IN -A321/M-SDE2E3FGHIRWXY/LB1 -RKSI0840 -N0458F330 OSPOT A582 PSN G339 DGC DCT ONGHA DCT SWE DCT UBE DCT -RJDC0057 RJFF -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8279 EET/RJJJ0033 SEL/CJAG  CODE/71C279 OPR/AAR RMK/TCAS II EQUIPPED MSN=NI)"
 35,ARR,AAR131,B772,HL7732,RJFF,1130,,RKSI,1255,1255,ARR,Y,40,1302,"DGA0214 FF RKSIZPZX RKSIZTZX RKSSZTZX RKRRZQZX 180021 RJTTANAX  (FPL-AAR131-IS -B772/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RJFF0230 -N0440F280 HAKATA2 DGC G339 PSN A582 BITUX Z53 GOTLO G585 GUKDO  GUKDO1P -RKSI0110 RKSS -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7732 EET/RKRR0024 SEL/GMAQ  CODE/71BF32 OPR/AAR RMK/TCAS II EQUIPPED)"
 36,DEP,AAR132,B772,HL7732,RKSI,0910,0931,RJFF,1007,,DEP,Y,31,0910,"DGA8401 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 171634 RKSSAARO  (FPL-AAR132-IS -B772/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RKSI0010 -N0479F350 OSPOT A582 IKE -RJFF0057 RKPK -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7732 EET/RJJJ0031 SEL/GMAQ  CODE/71BF32 OPR/AAR RMK/TCAS II EQUIPPED)"
 37,ARR,AAR133,B772,HL7700,RJFF,1730,,RKSI,1928,1928,ARR,Y,31,1954,"DGA2951 FF RKSIZPZX RKSIZTZX RKSSZTZX RKRRZQZX 180503 RJTTANAX  (FPL-AAR133-IS -B772/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RJFF0830 -N0444F300 HAKATA2 DGC G339 INVOK/N0428F280 G339 PSN A582 BITUX Z53  GOTLO G585 GUKDO GUKDO1P -RKSI0111 RKSS -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7700 EET/RKRR0023 SEL/PRDG  CODE/71BF00 OPR/AAR RMK/TCAS II EQUIPPED)"
 38,DEP,AAR134,B772,HL7700,RKSI,1520,1549,RJFF,1618,,DEP,Y,31,1519,"DGA1752 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180257 RKSSAARO  (FPL-AAR134-IS -B772/H-SDE1E2E3FGHIJ5M1RWXY/LB1D1 -RKSI0620 -N0455F310 OSPOT A582 IKE -RJFF0058 RKPK -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7700 EET/RJJJ0033 SEL/PRDG  CODE/71BF00 OPR/AAR RMK/TCAS II EQUIPPED)"
 39,ARR,AAR135,A333,HL7736,RJFF,1910,,RKSI,2055,2055,ARR,Y,39,2107,"DGA4881 FF RKSIZPZX RKSIZTZX RKSSZTZX RKRRZQZX 180753 RJTTANAX  (FPL-AAR135-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RJFF1010 -N0471F280 HAKATA2 DGC G339 PSN/N0466F300 A582 TGU/N0478F300 A582  BITUX/N0430F300 Z53 GOTLO G585 GUKDO GUKDO1P -RKSI0108 RKSS -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7736 EET/RKRR0023 SEL/FKPQ  CODE/71BF36 OPR/AAR RMK/TCAS II EQUIPPED)"
 40,DEP,AAR136,A333,HL7736,RKSI,1700,1719,RJFF,1801,,DEP,Y,41,1701,"DGA2226 FF RKSIZPZX RKSIZTZX RKRRZQZX RKSSZTZX 180343 RKSSAARO  (FPL-AAR136-IS -A333/H-SDE1E2E3FGHIJ5M1RWY/LB1D1 -RKSI0800 -N0404F310 OSPOT A582 TGU/N0420F310 A582 IKE -RJFF0101 RKPK -PBN/A1B1C1D1L1O1S1S2 DOF/150118 REG/HL7736 EET/RJJJ0035 SEL/FKPQ  CODE/71BF36 OPR/AAR RMK/TCAS II EQUIPPED)"
 41,ARR,AAR151,A321,HL8004,RJSS,1345,,RKSI,1615,1615,ARR,Y,37,1620,"DGA0560 FF RKRRZQZX RKSIZPZX RKSSZTZX RKSIZTZX 180052 RJTTANAX  (FPL-AAR151-IS -A321/M-SDE2E3FGHIRWXY/LB1 -RJSS0445 -N0460F300 DERBY GTC L512 TENAS/N0453F240 B467 KAE G597 KARBU KARBU1P -RKSI0216 RKSS -PBN/A1B1C1D1O1S1S2 DOF/150118 REG/HL8004 EET/RKRR0111 SEL/FJGH  CODE/71C004 OPR/AAR RMK/TCAS II EQUIPPED)"
